"Store","DayOfWeek","Date","Sales","Customers","Open","Promo","StateHoliday","SchoolHoliday"
183,5,"2015-07-31",5588,714,1,1,"0",0
192,5,"2015-07-31",16191,1027,1,1,"0",0
274,5,"2015-07-31",6975,1374,1,1,"0",1
530,5,"2015-07-31",9561,1438,1,1,"0",1
732,5,"2015-07-31",10919,1150,1,1,"0",1
909,5,"2015-07-31",16140,1301,1,1,"0",0
183,4,"2015-07-30",6066,729,1,1,"0",0
192,4,"2015-07-30",15620,925,1,1,"0",0
274,4,"2015-07-30",5625,1158,1,1,"0",1
530,4,"2015-07-30",8020,1316,1,1,"0",1
732,4,"2015-07-30",10812,1214,1,1,"0",1
909,4,"2015-07-30",14894,1166,1,1,"0",0
183,3,"2015-07-29",5130,643,1,1,"0",0
192,3,"2015-07-29",13896,896,1,1,"0",0
274,3,"2015-07-29",5505,1117,1,1,"0",1
530,3,"2015-07-29",9047,1375,1,1,"0",1
732,3,"2015-07-29",10847,1167,1,1,"0",1
909,3,"2015-07-29",12140,1018,1,1,"0",0
183,2,"2015-07-28",6228,768,1,1,"0",0
192,2,"2015-07-28",15136,936,1,1,"0",0
274,2,"2015-07-28",5428,1131,1,1,"0",1
530,2,"2015-07-28",9044,1418,1,1,"0",1
732,2,"2015-07-28",11310,1170,1,1,"0",1
909,2,"2015-07-28",13314,1138,1,1,"0",0
183,1,"2015-07-27",7592,846,1,1,"0",0
192,1,"2015-07-27",18048,1100,1,1,"0",0
274,1,"2015-07-27",5927,1198,1,1,"0",1
530,1,"2015-07-27",10413,1568,1,1,"0",1
732,1,"2015-07-27",13331,1437,1,1,"0",1
909,1,"2015-07-27",15236,1273,1,1,"0",0
183,7,"2015-07-26",0,0,0,0,"0",0
192,7,"2015-07-26",0,0,0,0,"0",0
274,7,"2015-07-26",7750,1608,1,0,"0",0
530,7,"2015-07-26",6595,1152,1,0,"0",0
732,7,"2015-07-26",5399,623,1,0,"0",0
909,7,"2015-07-26",0,0,0,0,"0",0
183,6,"2015-07-25",3541,423,1,0,"0",0
192,6,"2015-07-25",15935,1042,1,0,"0",0
274,6,"2015-07-25",4789,1049,1,0,"0",0
530,6,"2015-07-25",7701,1314,1,0,"0",0
732,6,"2015-07-25",7447,887,1,0,"0",0
909,6,"2015-07-25",14613,1160,1,0,"0",0
183,5,"2015-07-24",4416,601,1,0,"0",0
192,5,"2015-07-24",12006,823,1,0,"0",0
274,5,"2015-07-24",5912,1341,1,0,"0",0
530,5,"2015-07-24",6894,1275,1,0,"0",1
732,5,"2015-07-24",8174,999,1,0,"0",1
909,5,"2015-07-24",14406,1249,1,0,"0",0
183,4,"2015-07-23",4979,610,1,0,"0",0
192,4,"2015-07-23",10178,742,1,0,"0",0
274,4,"2015-07-23",5725,1260,1,0,"0",0
530,4,"2015-07-23",7879,1371,1,0,"0",1
732,4,"2015-07-23",10766,1254,1,0,"0",1
909,4,"2015-07-23",15484,1275,1,0,"0",0
183,3,"2015-07-22",4107,565,1,0,"0",0
192,3,"2015-07-22",9024,652,1,0,"0",0
274,3,"2015-07-22",5377,1266,1,0,"0",0
530,3,"2015-07-22",7886,1361,1,0,"0",1
732,3,"2015-07-22",8097,961,1,0,"0",1
909,3,"2015-07-22",14708,1196,1,0,"0",0
183,2,"2015-07-21",3926,548,1,0,"0",0
192,2,"2015-07-21",9394,679,1,0,"0",0
274,2,"2015-07-21",4925,1205,1,0,"0",0
530,2,"2015-07-21",7985,1396,1,0,"0",1
732,2,"2015-07-21",8558,939,1,0,"0",1
909,2,"2015-07-21",16338,1398,1,0,"0",0
183,1,"2015-07-20",5705,732,1,0,"0",0
192,1,"2015-07-20",12262,857,1,0,"0",0
274,1,"2015-07-20",5502,1253,1,0,"0",0
530,1,"2015-07-20",9156,1507,1,0,"0",1
732,1,"2015-07-20",10820,1257,1,0,"0",1
909,1,"2015-07-20",23081,1767,1,0,"0",0
183,7,"2015-07-19",0,0,0,0,"0",0
192,7,"2015-07-19",0,0,0,0,"0",0
274,7,"2015-07-19",8095,1687,1,0,"0",0
530,7,"2015-07-19",7444,1084,1,0,"0",0
732,7,"2015-07-19",6533,673,1,0,"0",0
909,7,"2015-07-19",0,0,0,0,"0",0
183,6,"2015-07-18",3146,399,1,0,"0",0
192,6,"2015-07-18",15071,1027,1,0,"0",0
