"","Store","DayOfWeek","Date","Sales","Customers","Open","Promo","StateHoliday","SchoolHoliday"
"83",83,5,"2015-07-31",3866,327,1,1,"0",1
"144",144,5,"2015-07-31",8568,817,1,1,"0",0
"187",187,5,"2015-07-31",8074,907,1,1,"0",1
"200",200,5,"2015-07-31",11177,1122,1,1,"0",1
"207",207,5,"2015-07-31",13957,1436,1,1,"0",1
"248",248,5,"2015-07-31",11444,1228,1,1,"0",1
"264",264,5,"2015-07-31",8303,992,1,1,"0",1
"447",447,5,"2015-07-31",5700,614,1,1,"0",1
"488",488,5,"2015-07-31",4184,401,1,1,"0",1
"519",519,5,"2015-07-31",8175,719,1,1,"0",1
"609",609,5,"2015-07-31",5896,588,1,1,"0",1
"611",611,5,"2015-07-31",6686,531,1,1,"0",0
"639",639,5,"2015-07-31",5620,528,1,1,"0",1
"783",783,5,"2015-07-31",9281,791,1,1,"0",1
"839",839,5,"2015-07-31",5099,621,1,1,"0",1
"924",924,5,"2015-07-31",4513,427,1,1,"0",1
"939",939,5,"2015-07-31",7546,658,1,1,"0",1
"1048",1048,5,"2015-07-31",10307,668,1,1,"0",1
"1049",1049,5,"2015-07-31",5135,726,1,1,"0",0
"1074",1074,5,"2015-07-31",6789,681,1,1,"0",1
"1198",83,4,"2015-07-30",3401,311,1,1,"0",1
"1259",144,4,"2015-07-30",9142,871,1,1,"0",0
"1302",187,4,"2015-07-30",6673,701,1,1,"0",1
"1315",200,4,"2015-07-30",7103,807,1,1,"0",1
"1322",207,4,"2015-07-30",10983,1146,1,1,"0",1
"1363",248,4,"2015-07-30",6738,818,1,1,"0",1
"1379",264,4,"2015-07-30",7955,890,1,1,"0",1
"1562",447,4,"2015-07-30",4704,510,1,1,"0",1
"1603",488,4,"2015-07-30",2999,314,1,1,"0",1
"1634",519,4,"2015-07-30",6309,607,1,1,"0",1
"1724",609,4,"2015-07-30",4995,492,1,1,"0",1
"1726",611,4,"2015-07-30",6291,498,1,1,"0",0
"1754",639,4,"2015-07-30",4862,437,1,1,"0",1
"1898",783,4,"2015-07-30",7736,652,1,1,"0",1
"1954",839,4,"2015-07-30",4375,555,1,1,"0",1
"2039",924,4,"2015-07-30",5276,441,1,1,"0",1
"2054",939,4,"2015-07-30",5708,536,1,1,"0",1
"2163",1048,4,"2015-07-30",9505,638,1,1,"0",1
"2164",1049,4,"2015-07-30",4909,732,1,1,"0",0
"2189",1074,4,"2015-07-30",6419,600,1,1,"0",1
"2313",83,3,"2015-07-29",3922,323,1,1,"0",1
"2374",144,3,"2015-07-29",9111,796,1,1,"0",0
"2417",187,3,"2015-07-29",6792,667,1,1,"0",1
"2430",200,3,"2015-07-29",7013,810,1,1,"0",1
"2437",207,3,"2015-07-29",13042,1342,1,1,"0",1
"2478",248,3,"2015-07-29",7892,977,1,1,"0",1
"2494",264,3,"2015-07-29",7049,848,1,1,"0",1
"2677",447,3,"2015-07-29",4916,529,1,1,"0",1
"2718",488,3,"2015-07-29",4113,378,1,1,"0",1
"2749",519,3,"2015-07-29",6316,566,1,1,"0",1
"2839",609,3,"2015-07-29",4717,485,1,1,"0",1
"2841",611,3,"2015-07-29",6786,507,1,1,"0",0
"2869",639,3,"2015-07-29",4834,488,1,1,"0",1
"3013",783,3,"2015-07-29",6916,621,1,1,"0",1
"3069",839,3,"2015-07-29",4616,559,1,1,"0",1
"3154",924,3,"2015-07-29",5083,419,1,1,"0",1
"3169",939,3,"2015-07-29",5979,544,1,1,"0",1
"3278",1048,3,"2015-07-29",8576,563,1,1,"0",1
"3279",1049,3,"2015-07-29",4898,674,1,1,"0",0
"3304",1074,3,"2015-07-29",5597,526,1,1,"0",1
"3428",83,2,"2015-07-28",3771,326,1,1,"0",1
"3489",144,2,"2015-07-28",9282,792,1,1,"0",0
"3532",187,2,"2015-07-28",7833,835,1,1,"0",1
"3545",200,2,"2015-07-28",7465,896,1,1,"0",1
"3552",207,2,"2015-07-28",13335,1326,1,1,"0",1
"3593",248,2,"2015-07-28",8140,1005,1,1,"0",1
"3609",264,2,"2015-07-28",8016,937,1,1,"0",1
"3792",447,2,"2015-07-28",5085,529,1,1,"0",1
"3833",488,2,"2015-07-28",4056,342,1,1,"0",1
"3864",519,2,"2015-07-28",6730,603,1,1,"0",1
"3954",609,2,"2015-07-28",4904,523,1,1,"0",1
"3956",611,2,"2015-07-28",7579,586,1,1,"0",0
"3984",639,2,"2015-07-28",5157,442,1,1,"0",1
"4128",783,2,"2015-07-28",7077,641,1,1,"0",1
"4184",839,2,"2015-07-28",4595,528,1,1,"0",1
"4269",924,2,"2015-07-28",4895,459,1,1,"0",1
"4284",939,2,"2015-07-28",6930,614,1,1,"0",1
"4393",1048,2,"2015-07-28",8509,591,1,1,"0",1
"4394",1049,2,"2015-07-28",4947,732,1,1,"0",0
"4419",1074,2,"2015-07-28",7110,585,1,1,"0",1
"4543",83,1,"2015-07-27",5237,409,1,1,"0",1
"4604",144,1,"2015-07-27",10557,887,1,1,"0",0
"4647",187,1,"2015-07-27",8163,801,1,1,"0",1
"4660",200,1,"2015-07-27",8241,944,1,1,"0",1
"4667",207,1,"2015-07-27",17819,1604,1,1,"0",1
"4708",248,1,"2015-07-27",10715,1204,1,1,"0",1
"4724",264,1,"2015-07-27",9108,1071,1,1,"0",1
"4907",447,1,"2015-07-27",5932,618,1,1,"0",1
"4948",488,1,"2015-07-27",4519,379,1,1,"0",1
"4979",519,1,"2015-07-27",7706,699,1,1,"0",1
"5069",609,1,"2015-07-27",6536,587,1,1,"0",1
"5071",611,1,"2015-07-27",7739,596,1,1,"0",0
"5099",639,1,"2015-07-27",6172,497,1,1,"0",1
"5243",783,1,"2015-07-27",9722,772,1,1,"0",1
"5299",839,1,"2015-07-27",6035,656,1,1,"0",1
"5384",924,1,"2015-07-27",6431,496,1,1,"0",1
"5399",939,1,"2015-07-27",8074,689,1,1,"0",1
"5508",1048,1,"2015-07-27",11907,741,1,1,"0",1
"5509",1049,1,"2015-07-27",4927,743,1,1,"0",0
"5534",1074,1,"2015-07-27",8305,759,1,1,"0",1
"5658",83,7,"2015-07-26",0,0,0,0,"0",0
"5719",144,7,"2015-07-26",0,0,0,0,"0",0
"5762",187,7,"2015-07-26",0,0,0,0,"0",0
"5775",200,7,"2015-07-26",0,0,0,0,"0",0
"5782",207,7,"2015-07-26",0,0,0,0,"0",0
"5823",248,7,"2015-07-26",0,0,0,0,"0",0
"5839",264,7,"2015-07-26",0,0,0,0,"0",0
"6022",447,7,"2015-07-26",0,0,0,0,"0",0
"6063",488,7,"2015-07-26",0,0,0,0,"0",0
"6094",519,7,"2015-07-26",0,0,0,0,"0",0
"6184",609,7,"2015-07-26",0,0,0,0,"0",0
"6186",611,7,"2015-07-26",0,0,0,0,"0",0
"6214",639,7,"2015-07-26",0,0,0,0,"0",0
"6358",783,7,"2015-07-26",0,0,0,0,"0",0
"6414",839,7,"2015-07-26",0,0,0,0,"0",0
"6499",924,7,"2015-07-26",0,0,0,0,"0",0
"6514",939,7,"2015-07-26",0,0,0,0,"0",0
"6623",1048,7,"2015-07-26",0,0,0,0,"0",0
"6624",1049,7,"2015-07-26",0,0,0,0,"0",0
"6649",1074,7,"2015-07-26",0,0,0,0,"0",0
"6773",83,6,"2015-07-25",2303,223,1,0,"0",0
"6834",144,6,"2015-07-25",5392,539,1,0,"0",0
"6877",187,6,"2015-07-25",3753,428,1,0,"0",0
"6890",200,6,"2015-07-25",4788,590,1,0,"0",0
"6897",207,6,"2015-07-25",7257,881,1,0,"0",0
"6938",248,6,"2015-07-25",6531,882,1,0,"0",0
"6954",264,6,"2015-07-25",5127,712,1,0,"0",0
"7137",447,6,"2015-07-25",4619,519,1,0,"0",0
"7178",488,6,"2015-07-25",3469,354,1,0,"0",0
"7209",519,6,"2015-07-25",5394,556,1,0,"0",0
"7299",609,6,"2015-07-25",2647,269,1,0,"0",0
"7301",611,6,"2015-07-25",6598,529,1,0,"0",0
"7329",639,6,"2015-07-25",1798,186,1,0,"0",0
"7473",783,6,"2015-07-25",5346,555,1,0,"0",0
"7529",839,6,"2015-07-25",2072,261,1,0,"0",0
"7614",924,6,"2015-07-25",2415,218,1,0,"0",0
"7629",939,6,"2015-07-25",5578,557,1,0,"0",0
"7738",1048,6,"2015-07-25",6274,479,1,0,"0",0
"7739",1049,6,"2015-07-25",3232,543,1,0,"0",0
"7764",1074,6,"2015-07-25",4315,449,1,0,"0",0
"7888",83,5,"2015-07-24",3191,311,1,0,"0",1
"7949",144,5,"2015-07-24",7909,760,1,0,"0",0
"7992",187,5,"2015-07-24",5652,738,1,0,"0",1
"8005",200,5,"2015-07-24",6259,798,1,0,"0",1
"8012",207,5,"2015-07-24",8952,1091,1,0,"0",1
"8053",248,5,"2015-07-24",6882,974,1,0,"0",1
"8069",264,5,"2015-07-24",4748,668,1,0,"0",1
"8252",447,5,"2015-07-24",4316,498,1,0,"0",1
"8293",488,5,"2015-07-24",2947,315,1,0,"0",1
"8324",519,5,"2015-07-24",4447,498,1,0,"0",1
"8414",609,5,"2015-07-24",4022,525,1,0,"0",1
"8416",611,5,"2015-07-24",5832,468,1,0,"0",0
"8444",639,5,"2015-07-24",3671,445,1,0,"0",1
"8588",783,5,"2015-07-24",6690,689,1,0,"0",1
"8644",839,5,"2015-07-24",2513,408,1,0,"0",1
"8729",924,5,"2015-07-24",3332,340,1,0,"0",1
"8744",939,5,"2015-07-24",4850,507,1,0,"0",1
"8853",1048,5,"2015-07-24",6023,486,1,0,"0",1
"8854",1049,5,"2015-07-24",3052,592,1,0,"0",0
"8879",1074,5,"2015-07-24",4654,529,1,0,"0",1
"9003",83,4,"2015-07-23",2710,271,1,0,"0",1
"9064",144,4,"2015-07-23",7514,800,1,0,"0",0
"9107",187,4,"2015-07-23",5244,647,1,0,"0",1
"9120",200,4,"2015-07-23",6017,753,1,0,"0",1
"9127",207,4,"2015-07-23",8953,1134,1,0,"0",1
"9168",248,4,"2015-07-23",7235,986,1,0,"0",1
"9184",264,4,"2015-07-23",5124,695,1,0,"0",1
"9367",447,4,"2015-07-23",4314,547,1,0,"0",1
"9408",488,4,"2015-07-23",2601,284,1,0,"0",1
"9439",519,4,"2015-07-23",4501,491,1,0,"0",1
"9529",609,4,"2015-07-23",4117,471,1,0,"0",1
"9531",611,4,"2015-07-23",5339,463,1,0,"0",0
"9559",639,4,"2015-07-23",3632,399,1,0,"0",1
"9703",783,4,"2015-07-23",6078,625,1,0,"0",1
"9759",839,4,"2015-07-23",2995,433,1,0,"0",1
"9844",924,4,"2015-07-23",3972,397,1,0,"0",1
"9859",939,4,"2015-07-23",4296,446,1,0,"0",1
"9968",1048,4,"2015-07-23",6246,491,1,0,"0",1
"9969",1049,4,"2015-07-23",3052,609,1,0,"0",0
"9994",1074,4,"2015-07-23",4833,547,1,0,"0",1
"10118",83,3,"2015-07-22",2387,258,1,0,"0",1
"10179",144,3,"2015-07-22",5948,616,1,0,"0",0
"10222",187,3,"2015-07-22",4401,533,1,0,"0",1
"10235",200,3,"2015-07-22",5793,752,1,0,"0",1
"10242",207,3,"2015-07-22",8579,1083,1,0,"0",1
"10283",248,3,"2015-07-22",6696,953,1,0,"0",1
"10299",264,3,"2015-07-22",4495,655,1,0,"0",1
"10482",447,3,"2015-07-22",4006,519,1,0,"0",1
"10523",488,3,"2015-07-22",2670,303,1,0,"0",1
"10554",519,3,"2015-07-22",3817,413,1,0,"0",1
"10644",609,3,"2015-07-22",4038,475,1,0,"0",1
"10646",611,3,"2015-07-22",3852,367,1,0,"0",0
"10674",639,3,"2015-07-22",3533,395,1,0,"0",1
"10818",783,3,"2015-07-22",5838,587,1,0,"0",1
"10874",839,3,"2015-07-22",2775,441,1,0,"0",1
"10959",924,3,"2015-07-22",3738,367,1,0,"0",1
"10974",939,3,"2015-07-22",4196,448,1,0,"0",1
"11083",1048,3,"2015-07-22",5163,452,1,0,"0",1
"11084",1049,3,"2015-07-22",3141,603,1,0,"0",0
