"store_id","method","mean"
"83","simple_regression","418.4"
"83","rubost_regression","418"
"83","log_regression","415.9"
"83","glm_regression","418.4"
"83","gam_regression","418.4"
"83","bagging","404.3"
"83","boosting","391.9"
"83","boosting_cv","390.9"
"83","randomforest","399.8"
"83","svm","399.8"
"144","simple_regression","682"
"144","rubost_regression","635.4"
"144","log_regression","626.3"
"144","glm_regression","682"
"144","gam_regression","682"
"144","bagging","556.3"
"144","boosting","525.5"
"144","boosting_cv","537.2"
"144","randomforest","584.5"
"144","svm","473.2"
